Product,Consumer complaint narrative
Debt collection,"This complaint is against S & S Recovery , Inc. for publishing an unauthorized debt collection account to my credit report without any form of validation, contract, or legal right to do so. I was never notified, never served, and never received my dispute rights under FDCPA 809.

They are illegally using and reporting my personal data, without consent, and are damaging my credit profile. Their failure to respond to debt validation demands and refusal to provide proper documentation qualifies as willful noncompliance. 

I am demanding deletion, cease and desist, and written confirmation within 10 days. They have already harmed my financial standing and mental health. I have prepared litigation and will pursue maximum statutory damages."
"Credit reporting, repair, or other","I notified Experian of an inaccuracy on my report by national credit adjust. This same account was reported to Experian by another company, XXXX XXXX XXXX XXXX which was deleted on XX/XX/2019 because it was proven invalid. Experian created what they called an investigation which lead to the incorrect/fraud info to remain on my report after they deleted this same info by another collection agency previously. This information is completely false and should not remain on my credit. Please help!"
"Credit reporting, repair, or other","I decided to pull my credit because every single time I would apply for a credit card I would get denied. To the best of my knowledge I have always paid my bills on time. So, I know for a fact that these things showing on my report do not belong to me. These accounts were fraudulently made without my consent. Please remove these accounts from my report as soon as possible. XXXX {$3100.00} XXXX  XXXX {$1100.00} XXXX XXXX {$220.00}"
"Credit reporting, repair, or other","I don't want to see this on my credit report, I'm begging you this is not mine, This is totally Fraud."
Debt collection,"It stated that I owe a balance of {$720.00}. If I paid in full, I would receive XXXX points."
Debt collection,"I hired XXXX XXXX XXXX to negotiate with my creditors and resolve any past due balances I enrolled in a payment plan in 2017 at XXXX monthly until all accounts were resolved currently still in program at working off the last ( 7 ) XXXX XXXX XXXX Credit card Services was the only account left after several attempts by XXXX XXXX XXXX they refused to negation and would no loner speak to my representatives that took over my debt, I am XXXX XXXX XXXX a only receive below standards of Living income monthly. I personally tried to reach out to XXXX XXXX XXXX and was told the account was a charge off and was sold to Hunt & Heriques Law firm,  XXXX XXXX drafted up a summons and complaint with outrageous add on fees that XXXX XXXX XXXX never had a XXXX bill went to XXXX and I do not recall ever getting to XXXX with XXXX XXXX XXXX, This law firm Filed this with a court in XXXX county superior court I do not live anywhere near this county they falsified to the court it had jurisdiction got a summons and complaint then went to a family members house where I never lived at and gave the summons and complaint to a family member XXXX XXXX I have a Video off a XXXX  camera with process server not even asking for me by name only asking name of the family member. This firm is buying old debt for penny 's on the dollar the lying to the court it served papers on the Defendants I personally researched over 80 cases thrown out for improper service This firm has no legal right to any compensation they do not even have documented proof beyond my name a old credit card account no signed agreements between even opening the account XXXX XXXX XXXX has reached out to this law firm however so far unsuccessful. If I do owe Money they do not have the right to collect it under law XXXX XXXX XXXX does have that right not them I was also told by XXXX XXXX XXXX the matter is resolved and why this Law Firm Hunt & Henriques is using the name XXXX XXXX XXXX as the Plaintiff Because they are not this a a bought account Charge Off and submitting untruthful statements under the penalty of perjury is a crime countless victims have been abused by this firm in the past and has several new cases Filed in XXXX superior court in XXXX California the main objective of this firm is to file bogus law claims against people improperly serve them by any means a try to win by default because the person was never legally aware about legal action like myself was contacted by 3rd party Family member after the fact if this law firm actually represented XXXX XXXX XXXX they would have a full file with signed documents with my name and a list of charges down to the last penny its called accounting XXXX XXXX XXXX  has the funding to pay XXXX XXXX XXXX XXXX this Hunt & Heriques has failed to negotiate ( XXXX XXXX want to make money in legal fees to line his pockets with money that is not due to him and the law firm he works for located in XXXX ca."
"Credit reporting, repair, or other",XXXX and Transunion are reporting incorrectly that I am 60 120 days past due on the SECURITY partial account numbers XXXX. This account reports a {$0.00} balance and {$0.00} past due. ( Please see pages 14 17 of the attached credit report. ) This incorrect reporting is harming my credit score. Please keep in mind that it is impossible to be late on accounts where nothing is owed and nothing is past due.
Debt collection,"SPS Select Portfolio Servicing of XXXX XXXX XXXX, UT appears to be a debt collection agency, who started a systematic harassment by mail debt collection campaign against wife, XXXX XXXX. 

This harassment following a failed foreclosure attempt over the past 2 years ( XXXX-XXXX ) by XXXX XXXX XXXX and their attorneys ( XXXX ) over a 2nd Mortgage default loan by XXXX, approximately 10 Years ago. 

During XXXX-XXXX time period of XXXX/XXXX ( attempt to foreclose on our residence, XXXX XXXX XXXX, XXXX, VA XXXX, on legal advice & assistance of Mr. XXXX XXXX, Attorney, XXXX XXXX, VA, both myself, XXXX XXXX, and wife, XXXX, entered Chapter XXXX Trustee Protection, twice, that prevented the foreclosure attempt by XXXX/XXXX legal agent."
"Credit reporting, repair, or other","I when to pull out my credit report last year and I found out that I have three account from XXXX XXXX XXXX XXXX which those are not my debt and start sending letter to collection agency and never get any answer  back from them. 
I also contacted Equifax+XXXX XXXX+ XXXX and no answer, trying to resolve this matter but no help from those Credit reporting agency"
"Credit reporting, repair, or other","On XX/XX/XXXX, I received a personal loan from the XXXX XXXX, XXXX branch of XXXX XXXX XXXX. On XX/XX/XXXX, my wife and I filed Chapter XXXX Bankruptcy which included that loan. The bankruptcy was completed on XX/XX/XXXX, and the loan is being properly listed on my credit report as Chapter XXXX Bankruptcy. 

However there is another loan listed on my credit report under Mariner Finance. It was also reportedly issued on XX/XX/XXXX, with a last payment made date of XX/XX/XXXX, the exact dates reported by XXXX XXXX XXXX. This loan is being reported as Unpaid Balance Charged Off. I have never applied for or received a loan from Mariner Finance, and certainly did not apply for or receive two entirely different loans on XX/XX/XXXX, as is currently claimed on my credit report. 

In XX/XX/XXXX, XXXX XXXX XXXX merged with Mariner Finance , LLC and on XX/XX/XXXX, the company became known as Mariner Finance. It appears that sometime between the merger and the final discharge of the debt, the account was transferred from XXXX XXXX XXXX to Mariner Finance, resulting in a new account number. That doesn't make it a new loan or change the fact it was XXXX, however. 

On XX/XX/XXXX, I submitted an online dispute with XXXX, identifying the duplication and noting this was likely the same loan reported twice. On XX/XX/XXXX, I received a reply claiming the accounts were verified as accurate. I'm not sure how it was verified, but someone, somewhere, is mistaken. 

I contacted the main office of Mariner Finance on XX/XX/XXXX, to correct this error. I spoke with XXXX and explained the problem, and was transferred to XXXX at the XXXX XXXX, XXXX branch. After I explained again, XXXX told me that her manager, XXXX, was out of the office but would return my call the following day. On the XXXX, my wife spoke with XXXX, and explained the situation yet again. He stated repeatedly there was nothing he could do and claimed if XXXX was saying it was verified, then it must be accurate. He suggested we contact an attorney if we had further questions. 

I am trying very hard to make sure my credit report is accurate and have hit a brick wall here. On XX/XX/XXXX, after my wife spoke with XXXX, I contacted XXXX by phone to dispute their results and still have not received any indication that they are doing anything to correct this problem."
Mortgage,"Rushmore Loan management XXXX will not permit applying for loan modification online and direct you to call. However, they do not answer the phone and the phone directs you to go online. 

I have spent hours trying to reach this company to no avail. Many times they tell you to call back during business hours but it is during business hours. 
Rushmore recently bought my loan from XXXX and they are a sham! 

They need to be required to staff appropriately to meet the needs of their customers during this critical time. 

It is unacceptable to just ignore refinancing, loan modification and other needs of customers."
Debt collection,National credit adjusters after giving then police reports and ftc identify theft report put a collection on my XXXX  report that legally needs to be removed.this is illegally on my XXXX credit report. My ss # is XXXX.I have given proof of this to my attorney who has taken several companies to court on my behalf
"Credit reporting, repair, or other","I was incarcerated for almost 10 years. I was released XXXX. All my information was stolen and accounts have been opened and debts accumulated beyond belief! This is a very frustrating process. This complaint is for XXXX  and XXXX XXXX signs. They have listed multiple accounts as well as bad checks. US Bank, XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX and a bad check to XXXX."
Debt collection,Around 2012 I paid this card with proof from bank and it was sent to collections by original bank. Now Cach LLC will not accept it was paid with proof and it remains on credit reports.
"Credit reporting, repair, or other","These accounts below have the wrong balance. 

Open credit card accounts View all accounts XXXX XXXX Reported XX/XX/2018 278 % Balance : {$550.00} / {$200.00} XXXX XXXX XXXX Reported XX/XX/2018 123 % Balance : {$240.00} / {$200.00} XXXX XXXX Reported XX/XX/2018 122 % Balance : {$240.00} / {$200.00} XXXX  XXXX XXXX Reported XX/XX/2018 78 % Balance : {$230.00} / {$300.00} XXXX XXXX Reported XX/XX/2018 55 % Balance : {$550.00} / {$1000.00}"
"Credit reporting, repair, or other",INQUIRIES / Hard pulls/Negative Also without my permission from XXXX XXXX on XXXX XXXX and Equifax XXXX XXXX XXXX XXXX
"Credit reporting, repair, or other","there have been an old inquiries on my Experian Report for over 2 years old that suppose to have been removed it's for XXXX card the removal day was suppose to be XX/XX/2018 the inquiry still on my report. 
I want it removed"
Debt collection,i have gone 5 moths to resolve this confusion with the credit bureaus and with the company itself and o have had no luck. they do not respond with validation to verify this is mine and therefore they havent deleted it either. i have read up on the fcra and also the fdcpa and my rights have been violated as per them. so i need this to be removed and i need your help to solve this please as i read also about your company that you help us out as consumers and i need help. the name of the company is citi bank. for the XXXX amount of like XXXX XXXX dollars.
Debt collection,I have already had to file a complaint against diversified adjustment service with the BBB because they were threatening my credit report and refused to allow me to dispute a debt they keep calling me over. I advised them I am disputing the debt and they will not allow me to do so. Now they constantly call my phone to harass me. I have told them 4xs now to stop calling my phone and they will not. This is harassment and I want it to stop. I just called XXXX XXXX today and advised XXXX the third party they sent information to is harassing me and I want it to stop as I have been making monthly payments to XXXX XXXX for a past due balance. XXXX XXXX  gets $ XXXX as we originally agreed to before they placed my account in collections and I am now being harassed and it is against the FDCPA to continue to call and harass a consumer after they are told to stop and after I advised them I am disputing the debt. They are to not call me for 30 days while they investigate the dispute in which they have failed to do. I want a validation and verification of debt from Diversified Adjustment and I want them to stop harassing me. I have already asked 4xs to stop.
Debt collection,"I want to stress that I did not give written permission for these specific transactions to be included in my consumer report. At no point did I authorize these entries, and their presence on my report is unwarranted. Consequently, I am formally requesting that these accounts be blocked and removed from my report immediately. It is important to clarify that this request is not due to any error or negligence on my part. There has been no oversight or misunderstanding on my end. Instead, this issue arises solely from the fact that I did not explicitly authorize the inclusion of these transactions in my report. I am diligent about maintaining the accuracy and privacy of my financial records, and these unauthorized entries compromise that integrity. I trust that you will handle this matter with the urgency and seriousness it deserves. Please confirm the removal of these transactions from my report as soon as possible. Thank you for your prompt attention to this issue."
Mortgage,"I closed out my mortgage loan with Selene Finance when I sold my former house on XX/XX/2018. I was told by the closing attorney that Selene Finance would send me a check for the excess money in my escrow account within 20 days of closing. Selene Finance has confirmed that there was approximately {$4000.00} in my account but they have not sent it to me, despite numerous attempts to contact them."
Debt collection,"There was an account opened under my name some time in 2017, the original creditor was XXXX XXXX XXXX, it has now turned into a collection agency with a company named I.Q Data Internatio XXXX XXXX   XXXX, XXXX, WA XXXX. I have tried disputing this information with XXXX, i have filed an identity theft report, filed multiple disputes on this collection account. And they still won't remove it from my credit report. I even tried calling the collection agency my self, and they were nasty rude people, they did not care about anything else but their money, even when i told them that it wasnt my account."
"Credit reporting, repair, or other","I submitted a dispute for a company named XXXX XXXX XXXX, this company says I have a balance. This company was under my bankruptcy and it has since been discharged."
"Credit reporting, repair, or other","Four times this year, someone has been able to access my credit card account and change my address to get another credit card and 1 time in XXXX that tried to use it to get {$250.00} if the card. Even though I have a freeze on my account, and they are suppose to send a code to my phone to make any changes. 3 times it was for an address in XXXX and 1 time it was for an address in XXXX, XXXX, which I haven't lived in XXXX, XXXX in almost 9 years. I just found out on XX/XX/2018, that someone tried to get another card from my account, even thought I have a fraud alert and I froze my account. Everytime this happens it lowers my credit score. I have a XXXX credit score and I'm trying to buy a house. I don't want to close this account as it will lower my score even more. I have 7 credit cards and this is the only one that keeps getting hacked. I'm thinking now that it is an inside job. No matter how my alerts or freezes I put on this account, even changing the name to my married name, someone is still able to access this account. They have sent me 4 new cards and it hasn't done any good. I WANT THIS TO STOP. I'm going to pay this account off and never use this account again. I shouldn't have to do this."
Debt collection,"I previously requested full validation of this alleged debt, including : A signed copy of the original creditor agreement, A complete accounting and itemization of the balance, and Proof of legal assignment/ownership. 

What I received instead were generic verification sheets and recycled data that fail to meet the requirements of the FDCPA 809 ( b ). These do not constitute proper validation.

By continuing to report unverifiable or incomplete information, this company is in violation of the FCRA 623. A sellers summary or computer printout is not legal validation.

I am demanding deletion of this tradeline from all credit reporting agencies. If the company continues to furnish unverifiable information, I will pursue federal legal remedies for damages, costs, and attorney fees. 

This is the final notice. 

Portfolio acct no XXXX {$2700.00}"
Debt collection,I received a notice from XXXX XXXX concerning a bill of {$400.00} that I supposedly owed to XXXX XXXX. I do not have an account with XXXX XXXX. When I contacted my local XXXX XXXX store in XXXX XXXX Indiana they told me that I had no outstanding debt. I do not understand why this company is sending me this letter I do not owe any money. I feel like this is A fraudulent letter.
Mortgage,"This complaint is for TCF, Identical complaint filed for XXXX XXXX XXXX There are two lenders involved in my complaint. I had a HELOC loan with TCF bank that sold my loan to XXXX XXXX  XXXX  back in XXXX of this year. This loan was actually converted to a long term loan many months earlier and we no longer have the ability to draw on that loan according to our agreement. Before even making our first payment with our new loan servicer they reached out to us looking for the first payment in XXXX. I explained XXXX 's payment was made with the first loan servicer and we have sent them proof of that payment. Each month we pay the same amount to them as we did our previous loan despite requests for different payment amounts each month, asking for mostly smaller amounts. We have made several attempts to provide XXXX  with documentation that this payment was made and that we were current as of the date of the loan being sold. The original servicer has provided us with the documentation but is unwilling to contact the second directly each time telling us they can't contact them anymore and to give them a new document proving we have paid. Each time I call the new servicer they humiliate me reminding me I am late and this is an attempt to collect a debt. One lender selling a loan to the next shouldn't be my problem to fix as the problem was created in the sale of the loan. I feel I'm running out of options but certainly don't want to pay another payment to them that we don't owe them. This practice can't be acceptable and I'm asking for help."
Debt collection,"XXXX XXXX XXXX XXXX XXXX XXXX, IL XXXX SSN : XXXX DOB : XX/XX/XXXX Date : XX/XX/XXXX To : Credence Resource Management , LLC XXXX XXXX XXXX XXXX, XXXX XXXX XXXX, TX XXXX RE : FORMAL DISPUTE & DEMAND FOR VALIDATION OF ALLEGED ACCOUNT # XXXX {$1100.00} To Whom It May Concern, This letter serves as a formal dispute and demand for full legal validation of the above-referenced alleged debt. I, XXXX XXXX, do not acknowledge nor accept any liability for this account. You are hereby instructed to cease all collection activity and credit reporting until full and proper legal validation is provided. 

Under my rights granted by the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692g, the Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681, and the Uniform Commercial Code ( UCC ) 1-308 and 3-501, I demand the following documentation : A copy of the original signed contract with my XXXX signature A binding agreement showing my legal obligation to repay this alleged debt A complete flow sheet or account ledger detailing charges, payments, fees, and interest A full chain of assignment proving lawful transfer from the original creditor to your agency Documentation confirming that this account is not past the statute of limitations under Illinois law Proof of XXXX companys license to collect debts in Illinois, including license XXXX and regulatory authority The name, department, and method of verification used to report this item to any credit bureau A notarized XXXX XXXX a manual investigation was conducted per FCRA 611 and that no eOSCAR automated system was used Let it be absolutely clear : a billing statement, invoice, or summary does not qualify as legal validation. If you are unable to provide all of the above documentation within XXXX calendar days, you must : Delete this account from XXXX XXXX XXXX XXXX XXXXXXXX all collection communications and efforts permanently Failure to comply will result in formal complaints to the Consumer Financial Protection Bureau ( CFPB ), Federal Trade Commission ( FTC ), and the Illinois Attorney XXXX XXXX, and I will pursue civil legal action for violations of FDCPA, FCRA, and XXXX. 

All rights reserved under UCC XXXX, without prejudice. 

Sincerely, XXXX XXXX XXXX : XXXX DOB : XX/XX/XXXX"
Debt collection,"I am disputing the validity of the debt that is being reported and/or collected. Under the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692g, I am requesting full validation of this alleged debt.

Specifically, I am requesting : * The name and address of the original creditor.

* The original account number.

* An itemized breakdown of the amount claimed, including principal, interest, fees, and any other charges.

* Documentation that proves you are legally authorized to collect this debt, including a copy of the assignment or contract showing your right to collect. 
* Confirmation of whether this alleged debt has been reported to any credit bureaus, and if so, which ones and what information was furnished. 
Until proper validation is provided, you must cease all collection activity and stop reporting or verifying this debt with any credit reporting agencies, as required by the FDCPA and the Fair Credit Reporting Act ( FCRA ). 
If you can not provide the requested validation, I am requesting that you immediately stop all collection efforts and remove any negative reporting related to this alleged debt. 
This is not a refusal to pay, but a request for validation and verification of the claim in accordance with my rights under federal law."
Debt collection,CREDIT COLLECTION AND XXXX XXXX XXXX is falsely reporting on my credit. I have never had any accounts with them. Per my research CREDIT COLLECTION SERV AND XXXX XXXX XXXX is a debt collector. They are falsely reporting on my credit!! Account number is XXXX AND XXXX is falsely reporting to my credit file and is against my rights and fair credit act. Under U.S Code 1618d - Disclosure of investigation consumer report ; you are in violation.
"Credit reporting, repair, or other","I had my identity stolen in XX/XX/XXXX. The thieves opened 2 credit line accounts with XXXX XXXX. I found out in XX/XX/XXXX. Had a police report made and notified the the 3 Credit Bureaus. All of them is such a difficult thing to get help. almost impossible. The websites aren't clear as to what to do. The numbers they provide are not right, as they are automated and no way to speak to a person. In special with XXXX, I filed a dispute, notified them of the identity theft back in XX/XX/XXXX, printed a report with the information and as of today, XX/XX/XXXX my credit is still showing the derogatory information. 
It is absurd what a person has to go through after being victimized by thieves. Something needs to be done about these companies. Trans Union is the same thing. I notified the 3 of the fraud, yet, I had to spend the day talking to them."
"Credit reporting, repair, or other",I recently reviewed my credit profile and noticed inaccuracies and false accusations and fraudulent accounts.
"Credit reporting, repair, or other","The following companies ran unauthorized credit report on me..At no time did I give them permission to inquiry about my credit status, such inquiries made were for no legitimate business purpose. This is a violation of the Fair Credit Reporting Act and a serious breach of my privacy rights.. please delete this misleading information XXXX  XXXX, XXXX XXXX"
Debt collection,Account Details Original Lender MEDICAL Account Number XXXX Account Type Not Reported Responsibility Individual Credit Limit Not Reported Highest Balance {$150.00} Payment Details Amount Past Due Not Reported Date of Last Payment Not Reported Monthly Payment Not Provided Payment Frequency Not Reported Lender Info XXXX XXXX XXXX XXXX XXXX XXXX XXXX IN XXXX ( XXXX ) XXXX
